cap_gap,cap_width,finger_count,finger_length,bottom_to_bottom,bottom_to_ground,ground_to_ground,top_to_bottom,top_to_ground,top_to_top
4.1,8.9,3.0,35.9,29.37706,22.8229,76.34891,6.19239,20.96644,27.41149
4.1,4.9,8.0,15.9,38.11335,29.8936,80.96287,7.90509,18.09954,26.26735
4.1,6.9,3.0,25.9,23.83947,19.29387,69.03457,4.21191,17.61712,22.06065
4.1,4.9,4.0,45.9,31.4978,22.88116,72.40457,8.18803,17.99545,26.47492
4.1,10.9,5.0,15.9,44.77482,36.22689,92.13718,8.07551,21.69778,30.10948
2.1,8.9,3.0,25.9,28.57131,21.79753,72.33106,6.44675,18.37775,25.03289
2.1,4.9,4.0,15.9,23.74662,18.77252,64.2038,4.73094,13.68361,18.663710000000002
4.1,10.9,1.0,35.9,15.68358,14.70965,65.64452,0.7400100000000001,18.93928,19.96516
2.1,12.9,2.0,25.9,29.06626,24.05365,73.82026,4.66439,16.96885,21.86489
2.1,10.9,5.0,45.9,58.69122,37.22222,99.68718,21.04019,27.3719,48.7405
2.1,6.9,5.0,35.9,40.3882,26.23626,80.65796,13.73328,21.05525,35.06616
4.1,4.9,6.0,25.9,34.65286,25.89566,76.05246,8.33281,17.61671,26.17278
4.1,6.9,1.0,45.9,13.54835,12.89278,63.85132,0.47825000000000006,18.88542,19.58697
4.1,12.9,8.0,25.9,86.25568,64.98847,132.01582,20.50395,30.75295,51.80896
2.1,6.9,10.0,15.9,59.93219,43.30622,98.39839,16.24935,20.74592,37.31641
2.1,8.9,1.0,45.9,14.70331,13.66427,65.32231,0.84125,19.71455,20.81929
4.1,8.9,5.0,35.9,44.95107,32.3722,90.04471,12.06108,24.29907,36.81011
4.1,8.9,9.0,25.9,70.08542,50.8161,114.18744,18.53249,28.71675,47.50304
2.1,6.9,1.0,15.9,13.62255,12.78564,58.0137,0.6691,14.05235,14.91395
2.1,14.9,2.0,25.9,32.01128,26.41461,77.14607,5.20299,17.9973,23.41526
4.1,12.9,4.0,35.9,51.17251,39.32554,97.43613,11.37836,23.1843,34.90699
2.1,10.9,7.0,25.9,67.75657,46.8637,108.83635,20.25982,26.29119,46.84435
4.1,6.9,10.0,45.9,80.62502,50.80066,114.1639,29.02394,28.51133,58.09317
2.1,6.9,9.0,25.9,60.88867,39.55262,97.23545,20.7631,23.24674,44.27989
4.1,8.9,1.0,15.9,14.56653,13.75663,59.66075,0.6063400000000001,14.75702,15.57932
2.1,14.9,6.0,45.9,90.93006,59.75254,127.17597,30.64423,30.22569,61.37902
2.1,4.9,2.0,15.9,16.82899,14.71062,59.03334,1.9011,12.79837,14.91522
2.1,8.9,9.0,35.9,80.91943,49.56488,113.88124,30.69101,29.00716,59.89062
2.1,12.9,4.0,25.9,49.04328,36.87262,91.79978,11.726750000000001,20.78413,32.8101
4.1,10.9,7.0,35.9,70.27532,49.48386,115.75338,20.08008,30.62196,51.11875
4.1,6.9,9.0,35.9,64.00772,42.57999,104.87919,20.80786,27.89118,49.05578
2.1,10.9,3.0,45.9,37.11616,25.96066,83.02793,10.90132,23.79835,35.08946
4.1,6.9,5.0,25.9,35.17029,26.58523,79.90527,8.15086,20.15774,28.52187
2.1,4.9,6.0,35.9,40.90498,25.99426,76.03103,14.54699,17.62251,32.37817
2.1,12.9,8.0,35.9,98.26095,64.7049,131.89139,32.73395,30.34098,63.67535
4.1,4.9,2.0,45.9,20.89371,17.70991,65.0946,2.90474,15.84128,18.99364
2.1,14.9,10.0,35.9,134.72212,88.82104,166.48597,45.21845,38.16664,84.04951
4.1,10.9,3.0,15.9,29.81702,25.15139,76.01799,4.33519,18.28483,22.89221
2.1,8.9,5.0,25.9,43.25029,30.54769,84.91536,12.25559,20.843890000000002,33.46785
